caption	image
Functional connectivity matrix for resting state	181636_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	558657_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	339847_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	125222_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	201515_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	212015_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	314225_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	191235_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	205725_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	180937_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	175742_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	140925_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	108323_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	148133_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	305830_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	562345_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	154532_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	547046_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	570243_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	111312_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	634748_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	101915_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	182032_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	168947_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	424939_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	179245_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	728454_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	191841_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	140117_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	693764_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	211619_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	522434_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	149842_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	731140_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	125525_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	153227_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	573451_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	186848_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	136833_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	580751_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	103212_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	597869_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	119732_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	486759_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	732243_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	519950_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	211922_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	185846_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	127327_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	172635_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	559457_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	177241_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	204521_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	156334_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	330324_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	289555_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	210415_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	176239_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	167440_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	168341_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	106824_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	147636_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	128026_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	100408_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	609143_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	187547_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	104012_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	200513_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	155231_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	654754_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	212015_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	128632_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	173334_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	329844_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	108121_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	377451_tfMRI_MOTOR_LR 
